,Frecvența Cuvintelor,GPT-BERT,KenLM,LSTM
irregular_past_participle_adjectives,0.6118626430801248,0.996,0.6222684703433923,0.8740894901144641
determiner_noun_agreement_2,0.49516648764769067,0.986,0.49194414607948445,0.7808807733619764
determiner_noun_agreement_1,0.49623250807319697,0.978,0.9343379978471474,0.8331539289558665
principle_A_case_1,1.0,0.976,1.0,0.9967105263157895
existential_there_quantifiers_2,1.0,0.23600000000000002,0.6673984632272228,0.41822173435784854
left_branch_island_echo_question,1.0,0.337,0.8215417106652587,0.7022175290390708
sentential_subject_island,1.0,0.364,0.26326742976066597,0.3891779396462019
principle_A_reconstruction,1.0,0.435,0.16132368148914167,0.4136504653567735
